,label,predic_label,count
0,0,1,26
1,0,2,37
2,0,3,15
3,0,4,25
4,0,5,5
5,0,6,39
6,0,7,10
7,0,8,11
8,0,9,20
9,0,10,12
10,0,11,4
11,0,12,1
12,0,13,1
13,0,14,3
14,0,15,2
15,1,0,35
16,1,2,15
17,1,3,61
18,1,4,3
19,1,5,26
20,1,6,44
21,1,7,11
22,1,8,11
23,1,9,16
24,1,10,2
25,1,11,12
26,1,12,2
27,1,14,6
28,1,15,2
29,2,0,57
30,2,1,35
31,2,3,17
32,2,4,33
33,2,5,12
34,2,6,41
35,2,7,5
36,2,8,16
37,2,9,27
38,2,10,33
39,2,11,3
40,2,13,8
41,2,14,4
42,2,15,1
43,3,0,21
44,3,1,89
45,3,2,21
46,3,4,6
47,3,5,30
48,3,6,12
49,3,7,11
50,3,8,8
51,3,9,18
52,3,10,7
53,3,11,24
54,3,12,5
55,3,13,4
56,3,14,1
57,3,15,4
58,4,0,30
59,4,1,9
60,4,2,13
61,4,3,20
62,4,5,17
63,4,6,15
64,4,7,1
65,4,8,12
66,4,9,2
67,4,10,11
68,4,11,6
69,4,12,2
70,4,13,10
71,4,14,5
72,4,15,1
73,5,0,23
74,5,1,56
75,5,2,12
76,5,3,23
77,5,4,10
78,5,6,7
79,5,7,10
80,5,8,13
81,5,9,10
82,5,10,13
83,5,11,9
84,5,13,8
85,5,14,12
86,5,15,10
87,6,0,48
88,6,1,12
89,6,2,34
90,6,3,5
91,6,4,45
92,6,5,10
93,6,7,4
94,6,8,23
95,6,9,21
96,6,10,31
97,6,11,3
98,6,12,3
99,6,13,1
100,6,14,45
101,6,15,4
102,7,0,78
103,7,1,71
104,7,2,21
105,7,3,63
106,7,4,18
107,7,5,50
108,7,6,45
109,7,8,15
110,7,9,26
111,7,10,8
112,7,11,36
113,7,12,4
114,7,13,5
115,7,14,34
116,7,15,6
117,9,0,2
118,9,1,11
119,9,2,6
120,9,3,5
121,9,4,3
122,9,5,5
123,9,6,5
124,9,8,7
125,9,10,3
126,9,11,3
127,9,13,1
128,9,14,3
129,11,0,6
130,11,1,39
131,11,2,9
132,11,3,29
133,11,4,18
134,11,5,10
135,11,6,8
136,11,7,14
137,11,8,5
138,11,9,44
139,11,10,15
140,11,12,2
141,11,13,3
142,11,14,11
143,11,15,11
144,15,0,3
145,15,1,8
146,15,2,5
147,15,3,4
148,15,4,1
149,15,5,1
150,15,6,1
151,15,7,5
152,15,8,1
153,15,9,5
154,15,10,2
155,15,11,29
156,15,13,4
157,15,14,4
